PM2.5,PM10,CO,O3,NO2,SO2,NO,NOx,AQI_Bucket,City
48.57,95.68,0.89,4.55,7.04,8.29,9.89,0.0,Moderate,Ahmedabad
48.57,95.68,0.89,30.84,21.69,9.16,9.89,23.52,Moderate,Ahmedabad
48.57,95.68,0.89,30.84,21.69,9.16,9.89,23.52,Moderate,Ahmedabad
48.57,95.68,0.89,30.84,21.69,9.16,9.89,23.52,Moderate,Ahmedabad
48.57,95.68,0.89,30.84,21.69,9.16,9.89,23.52,Moderate,Ahmedabad
65.37,95.68,0.64,8.02,8.07,16.31,0.64,8.57,Moderate,Ahmedabad
33.56,95.68,0.72,10.18,7.89,11.28,0.72,8.56,Satisfactory,Ahmedabad
31.3,95.68,0.55,7.44,8.1,10.29,0.55,8.49,Satisfactory,Ahmedabad
48.12,95.68,0.67,6.3,7.9,1.28,0.67,8.43,Moderate,Ahmedabad
57.11,95.68,0.55,2.6,8.28,14.58,0.55,8.42,Satisfactory,Ahmedabad
34.72,95.68,0.1,4.87,9.73,13.62,0.1,7.88,Satisfactory,Ahmedabad
29.22,95.68,0.06,5.08,9.57,13.58,0.06,7.77,Good,Ahmedabad
29.79,95.68,0.14,5.34,8.64,15.11,0.14,7.97,Satisfactory,Ahmedabad
59.95,95.68,0.18,2.79,8.78,11.52,0.18,8.16,Satisfactory,Ahmedabad
19.2,95.68,1.52,4.61,9.45,11.23,1.52,9.74,Satisfactory,Ahmedabad
48.57,95.68,0.89,30.84,21.69,9.16,9.89,23.52,Moderate,Ahmedabad
46.5,95.68,1.22,61.56,12.1,13.73,1.22,13.32,Moderate,Ahmedabad
48.57,95.68,0.89,30.84,21.69,9.16,9.89,23.52,Moderate,Ahmedabad
48.57,95.68,0.89,30.84,21.69,9.16,9.89,23.52,Moderate,Ahmedabad
48.57,95.68,0.89,30.84,21.69,9.16,9.89,23.52,Moderate,Ahmedabad
48.57,95.68,0.89,30.84,21.69,9.16,9.89,23.52,Moderate,Ahmedabad
48.57,95.68,0.89,30.84,21.69,9.16,9.89,23.52,Moderate,Ahmedabad
48.57,95.68,0.89,30.84,21.69,9.16,9.89,23.52,Moderate,Ahmedabad
