PM2.5,PM10,CO,O3,NO2,SO2,NO,NOx,AQI_Bucket,City
48.57,95.68,0.92,133.36,18.22,27.64,0.92,17.15,Moderate,Ahmedabad
48.57,95.68,0.97,34.06,15.69,24.55,0.97,16.46,Moderate,Ahmedabad
48.57,95.68,17.4,30.7,19.3,29.07,17.4,29.7,Moderate,Ahmedabad
48.57,95.68,1.7,36.08,18.48,18.59,1.7,17.97,Moderate,Ahmedabad
48.57,95.68,22.1,39.31,21.42,39.33,22.1,37.76,Moderate,Ahmedabad
48.57,95.68,45.41,46.51,38.48,45.76,45.41,81.5,Moderate,Ahmedabad
48.57,95.68,112.16,33.47,40.62,32.28,112.16,130.77,Moderate,Ahmedabad
48.57,95.68,80.87,31.89,36.74,38.54,80.87,96.75,Moderate,Ahmedabad
48.57,95.68,29.16,25.75,31.0,58.68,29.16,48.0,Moderate,Ahmedabad
48.57,95.68,0.89,4.55,7.04,8.29,9.89,0.0,Moderate,Ahmedabad
48.57,95.68,132.07,6.79,55.8,25.03,132.07,24.53,Moderate,Ahmedabad
48.57,95.68,52.04,45.89,40.67,51.84,52.04,90.24,Moderate,Ahmedabad
48.57,95.68,48.82,35.16,44.2,68.21,48.82,87.09,Moderate,Ahmedabad
48.57,95.68,19.2,20.96,27.86,52.65,19.2,33.05,Moderate,Ahmedabad
48.57,95.68,0.6,47.63,16.96,28.89,0.6,16.6,Moderate,Ahmedabad
48.57,95.68,1.63,46.03,21.72,38.27,1.63,22.86,Moderate,Ahmedabad
48.57,95.68,11.44,52.24,24.73,49.5,11.44,34.75,Moderate,Ahmedabad
48.57,95.68,6.1,53.49,25.77,48.43,6.1,29.57,Moderate,Ahmedabad
48.57,95.68,2.51,49.48,26.88,50.03,2.51,27.45,Moderate,Ahmedabad
48.57,95.68,7.92,56.37,26.8,58.87,7.92,32.4,Moderate,Ahmedabad
48.57,95.68,9.52,48.75,33.56,106.93,9.52,39.28,Moderate,Ahmedabad
48.57,95.68,9.05,42.22,17.51,23.71,9.05,22.33,Moderate,Ahmedabad
48.57,95.68,22.53,32.92,27.96,39.19,22.53,47.79,Moderate,Ahmedabad
48.57,95.68,2.03,32.49,20.39,40.07,2.03,21.4,Moderate,Ahmedabad
48.57,95.68,1.42,39.26,20.43,58.41,1.42,20.19,Moderate,Ahmedabad
48.57,95.68,2.27,39.83,21.16,43.73,2.27,21.81,Moderate,Ahmedabad
48.57,95.68,2.19,41.1,21.7,43.28,2.19,23.26,Moderate,Ahmedabad
73.24,95.68,5.72,62.42,21.11,36.52,5.72,25.84,Moderate,Ahmedabad
83.13,95.68,6.93,59.76,28.71,49.52,6.93,33.72,Poor,Ahmedabad
79.84,95.68,13.85,97.07,28.68,48.49,13.85,41.08,Very Poor,Ahmedabad
94.52,95.68,24.39,111.33,32.66,67.39,24.39,52.61,Severe,Ahmedabad
135.99,95.68,43.48,102.7,42.08,75.23,43.48,84.57,Severe,Ahmedabad
178.33,95.68,54.56,107.38,35.31,55.04,54.56,72.8,Severe,Ahmedabad
139.7,95.68,30.61,73.6,28.4,33.79,30.61,56.73,Severe,Ahmedabad
80.65,95.68,2.37,47.3,22.83,25.73,2.37,24.0,Poor,Ahmedabad
58.36,95.68,2.6,53.54,21.39,32.66,2.6,23.31,Moderate,Ahmedabad
79.29,95.68,1.16,59.3,26.94,67.41,1.16,26.83,Moderate,Ahmedabad
88.7,95.68,7.29,44.76,31.32,80.09,7.29,37.73,Poor,Ahmedabad
74.28,95.68,8.92,47.42,27.3,54.28,8.92,33.42,Very Poor,Ahmedabad
113.93,95.68,4.32,39.94,24.27,48.73,4.32,26.86,Very Poor,Ahmedabad
105.39,95.68,1.41,56.15,18.21,35.91,1.41,18.75,Poor,Ahmedabad
66.52,95.68,6.34,53.14,23.8,66.58,6.34,28.24,Very Poor,Ahmedabad
65.04,95.68,14.19,31.88,30.1,65.91,14.19,44.21,Poor,Ahmedabad
103.36,95.68,18.18,40.11,39.56,80.43,18.18,57.33,Severe,Ahmedabad
177.33,95.68,37.49,36.47,47.58,99.72,37.49,77.85,Severe,Ahmedabad
113.25,95.68,15.55,33.78,30.5,69.71,15.55,44.87,Severe,Ahmedabad
99.7,95.68,19.85,30.57,28.1,73.23,19.85,47.31,Severe,Ahmedabad
80.61,95.68,15.96,36.2,21.04,54.7,15.96,35.67,Severe,Ahmedabad
100.79,95.68,16.24,37.43,25.93,43.11,16.24,41.91,Severe,Ahmedabad
107.99,95.68,11.25,31.94,30.09,84.86,11.25,40.47,Severe,Ahmedabad
140.29,95.68,33.84,40.98,36.14,101.53,33.84,68.85,Severe,Ahmedabad
239.96,95.68,61.95,33.55,46.25,84.87,61.95,106.92,Severe,Ahmedabad
142.96,95.68,45.45,34.77,48.21,62.96,45.45,92.32,Severe,Ahmedabad
238.41,95.68,77.7,37.3,55.07,89.07,77.7,131.32,Severe,Ahmedabad
118.72,95.68,12.56,38.8,32.01,61.54,12.56,42.56,Severe,Ahmedabad
52.99,95.68,2.23,67.25,10.45,32.76,2.23,10.39,Poor,Ahmedabad
48.57,95.68,0.89,30.84,21.69,9.16,9.89,23.52,Moderate,Ahmedabad
48.57,95.68,0.89,30.84,21.69,9.16,9.89,23.52,Moderate,Ahmedabad
48.57,95.68,0.89,30.84,21.69,9.16,9.89,23.52,Moderate,Ahmedabad
61.12,95.68,3.58,30.48,16.81,28.44,3.58,20.92,Moderate,Ahmedabad
60.78,95.68,9.07,34.75,18.21,29.48,9.07,27.34,Moderate,Ahmedabad
91.83,95.68,12.99,38.46,28.71,39.71,12.99,40.76,Severe,Ahmedabad
93.88,95.68,18.21,46.79,29.38,62.75,18.21,47.01,Very Poor,Ahmedabad
173.01,95.68,48.44,59.39,42.27,78.76,48.44,90.73,Severe,Ahmedabad
48.57,95.68,0.89,30.84,21.69,9.16,9.89,23.52,Moderate,Ahmedabad
105.45,95.68,2.5,69.9,16.1,29.29,2.5,18.66,Moderate,Ahmedabad
71.56,95.68,3.51,57.16,16.83,30.28,3.51,20.32,Moderate,Ahmedabad
119.8,95.68,4.13,50.49,24.07,50.35,4.13,27.9,Poor,Ahmedabad
106.71,95.68,5.39,60.17,25.59,38.85,5.39,30.51,Poor,Ahmedabad
118.49,95.68,4.11,53.61,28.94,54.2,4.11,31.83,Very Poor,Ahmedabad
106.01,95.68,4.28,40.91,27.31,70.29,4.28,30.54,Poor,Ahmedabad
97.34,95.68,3.67,45.69,21.58,64.39,3.67,24.62,Poor,Ahmedabad
83.92,95.68,6.42,34.94,25.03,67.53,6.42,30.8,Poor,Ahmedabad
49.51,95.68,3.1,37.95,14.16,48.33,3.1,16.15,Poor,Ahmedabad
30.76,95.68,2.72,54.78,14.14,43.62,2.72,16.98,Moderate,Ahmedabad
50.29,95.68,5.34,45.44,29.84,59.23,5.34,33.28,Poor,Ahmedabad
57.69,95.68,25.36,52.87,29.48,58.33,25.36,54.79,Poor,Ahmedabad
105.06,95.68,46.24,45.65,37.05,53.62,46.24,82.23,Severe,Ahmedabad
94.1,95.68,22.14,46.77,36.53,61.31,22.14,57.49,Severe,Ahmedabad
111.89,95.68,22.25,50.57,43.29,66.44,22.25,64.53,Severe,Ahmedabad
108.59,95.68,25.38,46.68,39.34,75.8,25.38,63.01,Severe,Ahmedabad
130.76,95.68,45.61,41.58,41.03,65.77,45.61,85.76,Severe,Ahmedabad
143.55,95.68,27.3,35.38,31.15,50.98,27.3,57.16,Severe,Ahmedabad
165.07,95.68,23.83,43.79,34.48,64.32,23.83,57.71,Severe,Ahmedabad
166.85,95.68,17.93,53.44,43.3,79.71,17.93,60.07,Severe,Ahmedabad
147.38,95.68,6.4,17.94,35.82,46.89,6.4,40.22,Severe,Ahmedabad
158.25,95.68,5.86,38.54,27.89,142.36,5.86,32.65,Very Poor,Ahmedabad
237.76,95.68,4.99,39.77,21.8,96.28,4.99,25.37,Very Poor,Ahmedabad
133.37,95.68,3.88,39.66,17.99,57.34,3.88,21.02,Very Poor,Ahmedabad
133.3,95.68,6.52,59.03,20.0,51.58,6.52,26.18,Very Poor,Ahmedabad
96.04,95.68,3.8,46.61,20.07,62.42,3.8,23.46,Very Poor,Ahmedabad
77.69,95.68,5.24,27.14,18.87,100.48,5.24,23.06,Poor,Ahmedabad
53.07,95.68,4.17,21.76,13.82,40.36,4.17,17.45,Moderate,Ahmedabad
63.11,95.68,5.63,4.72,15.5,38.21,5.63,18.49,Poor,Ahmedabad
156.76,95.68,3.92,37.11,16.7,26.32,3.92,20.97,Moderate,Ahmedabad
120.96,95.68,4.23,35.66,20.86,35.54,4.23,25.02,Very Poor,Ahmedabad
138.63,95.68,5.65,29.77,25.47,87.43,5.65,30.67,Very Poor,Ahmedabad
144.36,95.68,15.82,27.34,30.69,66.39,15.82,46.1,Very Poor,Ahmedabad
85.03,95.68,3.3,35.89,26.7,59.16,3.3,27.41,Severe,Ahmedabad
134.6,95.68,5.9,7.0,26.27,34.53,5.9,28.7,Moderate,Ahmedabad
61.06,95.68,3.52,19.54,14.03,8.08,3.52,17.59,Moderate,Ahmedabad
39.42,95.68,5.28,31.3,19.56,17.66,5.28,24.66,Moderate,Ahmedabad
111.86,95.68,3.89,31.23,22.51,15.84,3.89,25.17,Poor,Ahmedabad
58.37,95.68,5.74,43.92,21.71,25.9,5.74,27.69,Poor,Ahmedabad
95.37,95.68,18.01,41.64,26.23,13.59,18.01,44.34,Very Poor,Ahmedabad
141.3,95.68,30.8,37.66,36.88,41.06,30.8,66.53,Severe,Ahmedabad
106.68,95.68,19.91,48.49,46.38,31.56,19.91,54.77,Severe,Ahmedabad
109.48,95.68,4.3,31.34,20.27,46.6,4.3,22.86,Poor,Ahmedabad
126.04,95.68,6.99,28.71,20.18,79.56,6.99,26.78,Very Poor,Ahmedabad
71.22,95.68,16.73,28.39,21.32,50.09,16.73,37.58,Very Poor,Ahmedabad
97.87,95.68,6.3,34.16,17.96,13.85,6.3,23.45,Very Poor,Ahmedabad
63.38,95.68,3.44,43.62,13.28,24.79,3.44,15.44,Moderate,Ahmedabad
75.29,95.68,3.35,60.71,14.29,76.05,3.35,17.97,Moderate,Ahmedabad
